Instructions,,,,,,,,,,,,,,,,,
"Fill in your catalog information below. Avoid some of the most common errors by making sure each row contains an item name; an item and its variations have the same category and description; GTINs are 8,12, 13, or 14 characters and contain numbers only; and every item referencing an option set has both an option set name and an option value.",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
OF7Z4KEFQT243VQSDBVICLQK,Hamsa,Regular,HSAO110001,"<p>- Food grade stainless steel material, safe and sanitary, suitable for children and guests.</p><p>- Elegant Swan shape, very suitable for home decoration.</p><p>- Fashionable tableware has excellent hardness and toughness, with mirror like surface luster, which can promote daily dining to a better dining experience.</p><p>- Nice gift for your friends and family, suitable for any banquet, party, birthday, wedding, etc.</p><p>- Great for sugar, cream and stirring.</p><p><br/></p><p><strong><em>Package Includes:</em></strong></p><p>1 Piece Swan Base Holder</p><p>6 Pieces Spoons</p>",New Arrivals,visible,,15.00,Y,,,,22,,N,3,Y
EUCDJAZJBYRQ3LN6ZTK6G2PD,Hira,Regular,HRA1120002,"Hira makes a hassle-free gift/return gift option. This readily available set can make your last-minute gift shopping easier. Whether you are going to a party and want to grab an authentic gift at the last minute or you are hosting one and want to be sure your guests walk out with their new favorite house item, this bundle makes for the perfect option. Set contains Aadhya (a German Silver Bowl and spoon) in a non-woven fabric bag.",Bahumati Bundles,visible,0.5,18.00,Y,,,,24,,,,Y
XA55FFYVI6V2OHI2MKOQ4RNN,Ibha,Regular,IBA200002,"Elephants have always been seen as a symbol of good fortune and wisdom. These lovely baby elephant sculptures are crafted from Plaster of Paris and feature German Silver carvings. These adorable handicrafts are ideal for displaying in exhibits, study tables, and work desks. It's perfect for anniversaries, birthdays, housewarmings, and a variety of other special occasions!
Item : Baby Elephant Set
Dimension : height - 1.5Inches, length - 1.6Inches Weight : 0.12 lb
Care Instructions : To keep their luster, German silver products should be washed with a moderate dishwashing soap and lukewarm water. Wipe with a clean cloth once it's been cleaned.",Home Essentials,visible,0.12,20.00,Y,,,,13,,,,Y
J7PUEZSBPIY6YCDKMO3J5R3Q,Jewelry Bag,Regular,PJB115003,"This bag is made of a lovely satin material that has been laminated on all sides to protect your belongings from dust, filth, and moisture. The inside lining is made of soft linen to keep your valuable jewelry safe and scratch-free. It comes with one bangle roll, four bags, and several compartments for minor jewelry storage.
- Dimensions: Length - 9.84 in; Width - 8.66 in; Height - 2.76 in | Weight: 470 gm",Gift Bags,visible,,20.00,Y,,,,20,,,,Y
IJL377P7W3PJRRR4355JOYQ5,Jute Gift Bag,Regular,PJTB100003,"Lunch boxes, water bottles, and return gift combos fit comfortably in these bags as the bag is light, comfy, and sturdy. This bag is also eco-friendly as it is composed of natural jute, which is 100% biodegradable and robust.
- Dimensions: Length - 9.84 in; Width - 11.02 in; Height - 4.7 in",Gift Bags,visible,,5.00,Y,,,,,,,,Y
DDKRTRID6SNKS6B7M7I3I3CW,Kala,Regular,KAL210002,"By giving this gorgeous container to your visitors, you may eliminate the dilemma of choosing between a memorable, useful, or attractive present. Kala is separated into four quadrants with transparent glass horizontal partitions. The silver beauty has various functions, ranging from dry fruit storage to jewelry. 
Item : Utility Container
Dimensions : 11cm x 25cm x 6cm 0.45 lb
Material : made of fiber plastic material with metal plated surface
Care Instructions : Wash well under running water. At last clean with a Dry Cotton Cloth.",Home Essentials,visible,0.45,10.00,Y,,,,20,,,,Y
KSYERPFEZSFKJCSDNEO2BCCP,Kamal,Regular,KML100003,"This product is really attractive, well-finished, and long-lasting, and it appears just like silver. It has an anti-tarnish finish that eliminates the need for regular maintenance. Designed specifically for those who value quality in design, materials, and craftsmanship. Color: Silver
Material: Mixed Alloys Size: 2.5 in",Home Essentials,visible,,8.00,Y,,,,12,,,,Y
MDIZ4X7G3P2PRC77AC427EMO,Keerthi,Regular,KRT100002,"The box is made of white metal with intricate Minakari Designs adorning the round stainless steel dabba, even including a lovely Peacock Minakari design on the top. The box can be easily opened and closed due to the metal clasp lock. Because of its elegant form, it can be used as the centerpiece of a dinner table which has various utilities.
Item : Utility Container
Dimension : Diameter - 7 inch ; Height - 3 inch Weight : 1.61 lb
Material :	Made of stainless steel box with minakari work
Care Instructions : Wash well under running water. At last clean with a Dry Cotton Cloth. Do not use steel wool or wire mesh for cleaning.",Minakari Collection,visible,1.16,10.00,Y,,,,18,,,,Y
OO6LMDZM3PL25DIYBW5M2UTT,Kissing Duck,Regular,KD100004,"Figurine of a metal swan (13 cm x 12 cm, Golden). Swan sets provide lovely decorative accents for your house or shrine and are suitable as gifts. clean upable Cleaning the mandarin oranges is simple. It is little maintenance because it is made of high-quality materials. To make them sparkle, simply clean them with soft, dry rags. These Swans are in love. Pair is lovely and quite sturdy, with a good-quality metal finish and a shiny golden color. A must-have for home decor can be used as a showpiece for your home's interior design, a table centerpiece, a center table centerpiece, and lovely antiquities. suitable for giving.",New Arrivals,visible,,20.00,Y,,,,23,,,,Y
73NHKOCXR5GIGBKEP5YY7T3R,Lata,Regular,LTA110002,"This exquisite lotus-shaped bowl is entirely constructed of German Silver. Because it is designed like a lotus, this item will greatly enhance the aura of any area and will blend in with any décor. Because this style is so popular and can go with everything or any background, it's a must-have for anyone who wants to maintain things nice and classic at the same time. The engravings on this bowl, as well as the polished outlines, are appealing to the eye.
Item : Gift Bundle
Bag Dimension : Length - 6.2Inches, height - 9Inches, Base dia - 4.5Inches | Weight : 0.90 lb
Bowl :
Width : 4in; Height : 2in; Weight : 0.21lbs
Material :	Silver plated on brass
Combo Contains :
One Floral Designed Potli Bag with Embroidery
One German Silver Lotus Bowl",Bahumati Bundles,visible,1,10.00,Y,,,,0,,,,Y
LM3ON43TNHRGENHZGOF6O24U,Manya,Regular,MNA100002,"The aesthetic of this box can be described as simple yet beautiful. This box is particularly effective for daily usage because it is made of top-grade stainless steel. The rich Rajsthani Meenakari design that runs the length of the box adds to its beauty. The beautiful peacock painting on the box exemplifies the richness of Rajasthani art. This sturdy, and lightweight item is made to add elegance and charm to your home and kitchen accessory. It has the potential to be a royal gift for any occasion. 
Item : Stainless steel meenakari kitchen storage box jar container
Dimension : Diameter - 3.5 inch ; Height - 5.5 inch Weight : 0.53 lb
Care Instructions : Wash well under running water. At last clean with a Dry Cotton Cloth. Do not use steel wool or wire mesh for cleaning.",Minakari Collection,visible,0.75,5.00,Y,,,,3,,,,Y
P4CUIJL7JXIWUCBKC6PVFBAC,Mayuri,Regular,Mayuri,"This plate is constructed of fiber plastic with peacock motifs imprinted on it. It has a golden finish with floral cutwork on it. The meenakari art is done in vibrant colors like as red, yellow, orange, and green throughout the plate. It's more fascinating and appealing because of the colors. It's an ideal present for weddings, baby showers, and other occasions.
Item: Plate with a double peacock design
Material : fibre plastic
Weight : 0.41 lbs
Dimension : Mini Plate - Dia - 5.7Inches
Care Instructions: Fibre plastic products can be cleaned by applying a mixture of white vinegar and lukewarm water. Post applying the mixture, rub it with a soft cloth.",Minakari Collection,visible,0.41,15.00,Y,,,,25,,,,Y
AQO6CDJM73VHF4EK3ZJ6YKVI,Megha,Regular,MGH111001,"Present this gift for happy occasions or other festivities. It's designed to serve fruits and sweet offerings. With its sheer grandeur and luxury, this Gold and Silver Ornate Bowl paired with a spoon set makes a dinner table appear spectacularly grand. The radiant hue of flowing gold on the spoon is what makes this one-of-a-kind set and will be the center of attention at any dinner table.
Item: German Silver Bowl & spoon
Size/Dimension : 4 inch (Dia)
Weight : 0.56 lbs
Care Instruction: Store it in the velvet box after use. Product may oxidize over a period of time due to chemical reactions.",German Silver Collection,visible,0.7,5.00,Y,,,,,,,,Y
47QOVQZZ32CFHZXOSB7UDICB,Mutya,Regular,MTA100001,"The magnificent Rajasthani artwork on this Pearl-decorated box has been meticulously created. The box's metaphoric dress makes it particularly appealing to ladies. The wonderful combination of multicolored stones, pearls, and the golden-hued body makes the item just stunning to look at. The round-shaped pearl inscribed dibbi is highly lightweight and portable, and it can be used for a variety of purposes. This might be a wonderful present for your loved ones. Given the overall aesthetic appeal and affordability, you should acquire this item without hesitation.
Item : Beautiful Trinket
Size : 5.5cm in diameter and 3.5cm in height
Material : made of metal covered with beads
Care Instructions : Keep away from water; use dry cloth for dusting.",Home Essentials,visible,0.5,3.00,Y,,,,,,,,Y
Q2Q2WNI3H5NWYNJBHUCZFHVD,Payal,Regular,PYN100002,"A lovely Thoran with handcrafted bells dangling from it! This beautiful home decoration piece can be given as a return gift for your friends, family, and relatives for the next important event! The thoran is one of our most popular return gift pieces due to its appealing designs. With this return gift piece, your guests will be awestruck and completely satisfied! Make your choice and enjoy the pleasure of giving a wonderful utility return present to your loved ones!
Item : Wind Chime
Dimension : Length - 8 inch ; Height - 16 inch ( approx. ) Weight : 0.41
Care Instructions : Keep away from water; use dry cloth for dusting.",Home Essentials,visible,0.5,12.00,Y,,,,17,,N,5,Y
